STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
32,320001,2,2,0,0,0,2,2,3,0,10,1,2016,1,1,48,1,1,1,1,1,I-15,,99998,36.38529167,-114.889083330000,0,12,1,0,1,1,0,1,2,10,0,10,0,0000000,1,52,2,8,88,88,0,0,0,1,0
32,320002,2,2,0,0,0,2,2,23,158,1,1,2016,6,12,59,0,2,7,99,6,BETTY AVE,LESLIE ST,0,36.22679722,-116.050550000000,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
32,320003,1,1,0,1,1,1,1,3,0,21,2,2016,1,1,36,1,2,3,1,3,SR-146 ST ROSE PKWY,,99998,35.96359444,-115.178088890000,0,9,0,0,1,1,0,1,3,1,0,1,0,0000000,1,38,1,46,99,99,0,0,0,1,1
32,320004,1,1,0,1,1,1,1,3,0,6,1,2016,4,21,35,0,2,4,3,5,LAS VEGAS BLVD,SR-574 CHEYENNE AVE,0,36.21771944,-115.093219440000,0,8,0,0,3,2,0,1,3,10,0,10,0,0000000,21,38,21,42,22,3,0,0,0,1,0
32,320005,1,1,0,0,0,1,1,3,120,13,1,2016,4,0,31,1,2,2,1,6,SUMMERLIN PKWY,,99998,36.17801389,-115.287202780000,0,41,0,0,1,1,0,3,2,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,1
32,320006,1,1,0,1,1,2,2,3,0,18,2,2016,5,20,33,1,2,3,3,5,EASTERN AVE,,0,36.09794722,-115.118930560000,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,20,33,20,36,20,50,0,0,0,1,0
32,320007,1,1,0,0,0,1,1,31,170,1,2,2016,2,14,15,1,2,2,1,2,US-395,,706,39.55631667,-119.788500000000,0,30,0,1,19,1,0,4,1,1,0,1,0,0000000,14,17,14,41,15,2,0,0,0,1,0
32,320008,1,1,0,0,0,2,2,3,150,10,1,2016,1,11,29,0,2,7,4,6,CAREY AVE,,0,36.20335278,-115.136019440000,0,23,0,0,1,1,0,4,1,1,0,1,0,0000000,11,29,11,36,88,88,0,0,0,2,1
32,320009,2,2,0,0,0,2,2,3,110,12,1,2016,3,14,46,1,2,3,1,3,SR-564 LAKE MEAD PKWY,INDUSTRIAL PARK RD,99998,36.03478611,-115.003625000000,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,14,47,14,51,15,13,0,0,0,1,0
32,320010,1,1,0,0,0,1,1,3,0,9,1,2016,7,0,35,0,2,4,2,5,DEAN MARTIN DR,,0,36.11502500,-115.183433330000,0,1,0,0,1,1,0,1,3,1,0,1,0,0000000,0,35,0,43,0,58,0,0,0,1,0
32,320011,1,1,0,0,0,1,1,3,0,10,1,2016,1,10,30,0,2,5,1,3,SR-169 NORTH SHORE RD,,450,36.33453611,-114.491911110000,1,1,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,11,2,88,88,0,0,0,1,0
32,320012,1,1,0,1,1,1,1,3,0,9,1,2016,7,5,1,1,2,2,3,5,TROPICANA AVE,,0,36.10065556,-115.184800000000,0,43,0,0,1,1,0,4,3,10,0,10,0,0000000,5,2,5,6,88,88,0,0,0,1,0
32,320013,1,1,0,1,1,3,3,31,170,1,1,2016,6,1,19,1,2,3,1,3,SR-659 MCCARRAN BLVD,SOCRATES DR,99999,39.55236389,-119.812105560000,0,8,0,0,3,2,0,1,3,1,0,1,0,0000000,1,21,99,99,99,99,0,0,0,1,0
32,320014,1,1,0,1,1,1,1,3,0,18,1,2016,2,9,45,1,1,1,1,1,I-15,,110,35.76041111,-115.343025000000,0,8,0,0,1,1,0,1,1,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
32,320015,3,2,1,0,0,2,2,3,120,22,1,2016,6,16,47,1,2,2,1,2,US-95 JONES BLVD OFFRAMP,SR-596 JONES BLVD,800,36.17446389,-115.224080560000,0,12,7,1,3,2,0,1,1,10,0,10,0,0000000,16,43,16,48,17,6,0,0,0,1,1
32,320016,3,3,0,0,0,7,7,3,0,24,1,2016,1,11,28,1,1,1,1,1,I-15,,730,36.51467778,-114.744038890000,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,11,32,11,54,88,88,14,0,0,1,1
32,320017,2,2,0,0,0,2,2,3,0,27,1,2016,4,3,5,1,2,3,2,3,SR-595 RAINBOW BLVD,SPRING MTN RD,99999,36.12574444,-115.243108330000,0,12,6,0,2,2,0,1,3,1,0,1,0,0000000,3,6,3,14,3,38,20,0,0,2,0
32,320018,1,1,0,1,1,1,1,31,170,30,1,2016,7,5,50,0,2,3,4,6,4TH ST,SPOKANE ST,0,39.53251944,-119.800636110000,0,8,0,0,2,2,0,1,3,4,2,4,0,0000000,5,50,5,55,88,88,0,0,0,1,0
32,320019,1,1,0,1,1,1,1,3,150,31,1,2016,1,6,15,0,2,7,4,6,CAMINO AL NORTE,,0,36.24731944,-115.154150000000,0,8,0,0,1,1,0,1,3,10,0,10,0,0000000,6,15,6,18,6,34,0,0,0,1,0
32,320020,3,3,0,0,0,4,4,3,0,1,2,2016,2,17,40,1,2,3,1,4,CR-215,,99999,36.29283333,-115.169294440000,0,18,0,0,1,1,4,2,2,1,0,1,0,0000000,17,43,17,47,18,26,0,0,0,2,0
32,320021,1,1,0,1,1,1,1,3,150,7,2,2016,1,17,44,0,2,7,4,6,THOMAS AVE,,0,36.19672778,-115.102186110000,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
32,320022,1,1,0,0,0,1,1,510,0,4,2,2016,5,19,52,0,1,4,1,3,SR-531 COLLEGE PKWY,,99999,39.19014444,-119.734305560000,0,33,0,0,1,1,0,4,3,1,0,1,0,0000000,19,55,19,58,88,88,20,0,0,1,1
