STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,480001,3,3,0,0,0,8,8,85,5390,1,1,2016,6,1,13,1,2,3,98,3,SR-289 PRESTON RD,HEDGCOXE RD,244,33.08231944,-96.800636110000,0,12,6,0,2,2,0,1,3,1,0,1,0,0000000,1,14,1,21,1,36,0,0,0,1,1
48,480002,1,1,0,0,0,2,2,159,0,1,1,2016,6,6,45,1,1,1,1,1,I-30,,78,33.16255833,-95.161888890000,0,24,0,1,19,1,0,3,2,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,2,0
48,480003,1,1,0,0,0,1,1,201,3280,1,1,2016,6,5,50,1,2,1,1,1,I-69/US-59 SOUTHWEST FWY,,130,29.71379444,-95.502938890000,0,33,0,1,5,1,0,10,3,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480004,2,2,0,0,0,3,3,205,0,1,1,2016,6,4,8,0,1,4,98,2,US-385,,207,35.80552778,-102.350936110000,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480005,1,1,0,0,0,1,1,361,7200,1,1,2016,6,2,0,1,2,3,98,8,FM 105 MAIN ST,,5,30.11707778,-94.008322220000,0,59,0,0,1,1,0,4,3,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480006,1,1,0,1,1,1,1,373,4020,1,1,2016,6,21,46,1,2,3,98,2,US-59 HWY,,330,30.68573889,-94.949402780000,0,8,0,1,18,1,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480007,1,1,0,0,0,1,1,487,7180,1,1,2016,6,6,11,1,2,3,98,2,US-70/287,,229,34.16070278,-99.290538890000,0,31,0,0,1,1,0,10,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480008,1,1,0,0,0,3,3,29,6090,2,1,2016,7,18,51,1,2,1,1,1,I-37,,120,29.43452222,-98.478105560000,0,24,0,0,1,1,0,4,3,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,1
48,480009,1,1,0,0,0,4,4,91,0,2,1,2016,7,10,16,1,1,1,1,1,I-35,,187,29.79818056,-98.018186110000,0,25,0,0,1,1,0,3,1,2,0,2,0,0000000,10,32,10,39,11,17,0,0,0,1,0
48,480010,1,1,0,0,0,1,1,113,1190,2,1,2016,7,15,28,1,2,1,1,1,I-35,,319,32.96082222,-96.915183330000,0,1,0,0,1,1,1,1,1,10,0,10,0,0000000,15,29,15,37,15,57,0,0,0,1,0
48,480011,1,1,0,1,1,1,1,113,3420,2,1,2016,7,23,35,1,2,2,98,3,SR-12,,180,32.81568333,-96.921805560000,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,23,36,23,40,0,1,19,0,0,1,0
48,480012,2,2,0,0,0,2,2,135,0,2,1,2016,7,14,0,1,2,3,98,8,SL 338,FM 554,245,31.93435000,-102.360686110000,0,12,6,0,2,2,0,1,1,10,0,10,0,0000000,14,3,14,8,14,41,0,0,0,1,0
