STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
51,510001,3,3,0,0,0,3,3,61,0,3,1,2016,1,15,27,0,1,3,98,2,US-29,RT-651,1717,38.53583333,-77.815833330000,0,12,1,0,3,2,0,1,1,98,0,98,0,0000000,15,27,15,31,16,56,0,0,0,1,0
51,510002,3,3,0,0,0,6,6,590,720,2,1,2016,7,14,4,1,1,3,98,2,US-,,76,36.61843611,-79.405833330000,0,12,1,0,1,1,0,1,1,98,0,98,0,0000000,15,6,15,15,15,44,0,0,0,1,0
51,510003,2,2,0,0,0,2,2,107,0,4,1,2016,2,8,38,0,2,5,98,4,CR-1401,PROVIDENCE VILLAGE DR,13,38.99488889,-77.402844440000,0,12,6,0,2,2,0,1,1,98,0,98,0,0000000,8,41,8,49,9,22,0,0,0,1,0
51,510004,1,1,0,0,0,1,1,77,0,7,1,2016,5,7,51,0,1,7,98,4,CR-703,,5,36.59805556,-81.163055560000,0,38,0,0,1,1,0,5,1,98,0,98,0,0000000,8,26,8,31,88,88,0,0,0,1,1
51,510005,1,1,0,1,1,1,1,73,0,7,1,2016,5,15,15,0,1,4,98,3,SR-33,COUNTY LINE RD,479,37.55801111,-76.661411110000,0,8,0,0,3,2,0,1,1,98,0,98,0,0000000,99,99,99,99,99,99,0,0,0,1,0
51,510006,2,2,0,0,0,2,2,179,0,7,1,2016,5,8,48,1,2,1,1,1,I-95,,1437,38.46166667,-77.409444440000,0,24,0,0,1,1,0,4,1,2,0,2,0,0000000,13,44,13,48,88,88,0,0,0,1,0
51,510007,1,1,0,1,1,1,1,7,0,7,1,2016,5,15,20,0,1,6,1,4,CR-659,,25,37.27861111,-77.818888890000,0,8,0,0,1,1,0,1,1,98,0,98,0,0000000,99,99,99,99,88,88,0,0,0,1,0
51,510008,1,1,0,0,0,1,1,197,0,9,1,2016,7,1,21,1,1,3,4,2,US-21,,89,36.94194444,-81.093611110000,0,33,0,0,1,1,0,4,3,2,0,2,0,0000000,99,99,99,99,88,88,0,0,0,1,0
51,510009,2,2,0,0,0,2,2,181,0,6,1,2016,4,5,47,0,1,7,1,4,CR-650,RT-628,18,37.10527778,-76.708055560000,0,12,6,0,2,2,0,1,4,98,0,98,0,0000000,5,43,5,59,6,52,0,0,0,1,0
51,510010,2,2,0,0,0,2,2,67,0,6,1,2016,4,8,37,0,1,5,98,4,CR-619,,76,36.94416667,-79.854722220000,0,12,8,0,1,1,0,1,1,98,0,98,0,0000000,8,35,8,45,88,88,0,0,0,1,0
51,510011,2,2,0,0,0,6,6,5,0,10,1,2016,1,9,30,1,1,3,98,2,US-220,,1274,37.82288056,-79.986708330000,0,12,8,0,1,1,0,1,1,98,0,98,0,0000000,99,99,99,99,99,99,0,0,0,1,1
51,510012,2,2,0,0,0,2,2,41,0,8,1,2016,6,20,36,0,2,2,98,3,SR-288,,163,37.47055556,-77.652222220000,0,12,6,0,1,1,0,1,2,2,0,2,0,0000000,20,34,20,43,88,88,0,0,0,1,1
51,510013,1,1,0,0,0,1,1,75,0,10,1,2016,1,15,30,1,1,1,1,1,I-64,,1672,37.72025556,-77.780238890000,0,42,0,0,1,1,0,4,1,98,0,98,0,0000000,15,29,15,39,88,88,0,0,0,1,0
51,510014,1,1,0,1,1,1,1,81,0,11,1,2016,2,17,58,1,1,1,1,1,I-95,,121,36.71555556,-77.539444440000,0,8,0,0,1,1,0,1,2,98,0,98,0,0000000,18,1,18,10,88,88,0,0,0,1,0
51,510015,1,1,0,0,0,1,1,87,0,10,1,2016,1,3,1,0,2,98,98,9,WISTAR RD,,99999,37.62276944,-77.515250000000,0,42,0,0,1,1,0,4,2,2,0,2,0,0000000,3,1,3,8,88,88,0,0,0,1,0
51,510016,2,2,0,0,0,5,5,760,2060,12,1,2016,3,19,25,1,2,3,4,3,SR-161,,75,37.54031111,-77.480277780000,0,12,2,0,1,1,0,1,3,98,0,98,0,0000000,19,57,20,5,20,29,0,0,0,1,0
51,510017,2,2,0,0,0,2,2,41,0,15,1,2016,6,6,45,0,2,2,1,3,SR-150,,32,37.47121389,-77.511388890000,0,12,1,0,1,1,0,1,2,98,0,98,1,0000000,6,42,6,51,7,20,19,0,0,1,0
51,510018,1,1,0,0,0,1,1,149,0,2,1,2016,7,12,7,0,1,4,98,3,SR-10,,302,37.28305556,-77.208525000000,0,24,0,0,1,1,0,4,1,98,0,98,0,0000000,12,18,12,52,88,88,0,0,0,1,0
51,510019,1,1,0,0,0,2,2,183,0,17,1,2016,1,11,20,0,1,5,98,3,SR-31,,10,36.98111111,-76.972222220000,0,42,0,0,1,1,0,4,1,4,0,4,0,0000000,23,9,23,15,88,88,0,0,0,1,0
51,510020,1,1,0,0,0,1,1,83,0,17,1,2016,1,14,10,0,1,7,1,4,CR-608,,30,36.84055556,-78.794444440000,0,42,0,0,1,1,0,4,1,98,0,98,0,0000000,14,16,14,30,88,88,0,0,0,1,1
51,510021,1,1,0,0,0,1,1,103,0,2,1,2016,7,1,9,0,1,5,1,3,SR-354,,97,37.77944444,-76.563333330000,0,42,0,0,1,1,0,4,2,98,0,98,0,0000000,1,9,1,27,88,88,0,0,0,1,1
51,510022,1,1,0,0,0,1,1,550,468,22,1,2016,6,14,25,0,1,3,4,2,US-17,,25,36.71888889,-76.351111110000,0,42,0,0,1,1,0,4,1,4,0,4,0,0000000,14,25,14,35,88,88,0,0,0,1,0
51,510023,1,1,0,1,1,1,1,177,0,26,1,2016,3,19,35,0,2,98,3,2,US-1,,1428,38.24055556,-77.498888890000,0,8,0,0,1,1,0,1,2,98,0,98,0,0000000,19,45,19,56,88,88,0,0,0,1,0
51,510024,3,3,0,0,0,4,4,19,0,20,1,2016,4,17,50,0,1,4,98,3,SR-122,,306,37.28266111,-79.552569440000,0,12,6,0,1,1,0,1,2,4,0,4,0,0000000,18,9,18,47,19,25,0,0,0,1,0
51,510025,1,1,0,0,0,1,1,810,2540,23,1,2016,7,15,42,0,1,3,98,2,US-60,,2977,36.91250000,-76.008055560000,0,42,0,0,1,1,0,4,1,4,0,4,0,0000000,99,99,99,99,88,88,0,0,0,1,0
51,510026,1,1,0,0,0,1,1,570,620,30,1,2016,7,4,55,1,2,1,1,1,I-95,,1,37.25909167,-77.399180560000,0,42,0,0,5,1,0,8,3,98,0,98,0,0000000,5,0,5,7,88,88,0,0,0,1,1
51,510027,2,2,0,0,0,2,2,153,0,1,1,2016,6,8,1,0,2,4,98,3,SR-234,SUDLEY MANOR DR,61,37.47121389,-77.511388890000,0,30,0,0,3,2,0,10,2,98,0,98,0,0000000,8,2,8,9,8,33,19,0,0,1,0
51,510028,1,1,0,0,0,2,2,770,2100,1,2,2016,2,20,27,0,2,5,1,6,GARDEN CITY BLVD SE,,14,37.24447778,-79.920555560000,0,18,0,0,1,1,0,4,2,2,0,2,0,0000000,20,26,20,34,88,88,0,0,0,1,1
51,510029,1,1,0,0,0,1,1,143,0,30,1,2016,7,22,30,0,1,4,98,3,SR-40,,621,36.95444444,-79.409722220000,0,38,0,0,1,1,0,5,2,98,0,98,0,0000000,23,24,23,35,88,88,0,0,0,1,1
51,510030,2,2,0,0,0,3,3,175,0,3,2,2016,4,17,12,0,1,4,1,2,US-58,,25,36.71208056,-77.065166670000,0,12,2,0,1,1,0,1,1,2,0,2,0,0000000,17,12,17,29,18,0,0,0,0,1,0
51,510031,2,2,0,0,0,2,2,810,2540,23,1,2016,7,7,19,1,2,1,1,1,I-64,,2877,36.80889444,-76.194883330000,0,12,6,0,1,1,0,1,1,2,0,2,0,0000000,7,20,7,26,7,28,0,0,0,1,1
51,510032,1,1,0,0,0,1,1,41,0,31,1,2016,1,2,22,0,2,5,98,4,CR-641,,25,37.42555556,-77.464722220000,0,32,0,0,1,1,0,4,2,98,0,98,0,0000000,2,22,2,27,88,88,0,0,0,1,0
51,510033,2,2,0,0,0,2,2,15,0,4,2,2016,5,13,23,0,1,5,98,3,SR-608,RT-651,160,38.04288056,-79.036388890000,0,12,6,0,2,3,0,1,1,98,0,98,0,0000000,13,28,13,47,14,30,0,0,0,1,0
51,510034,2,2,0,0,0,2,2,89,0,6,2,2016,7,21,50,1,1,3,98,2,US-58,,70,36.69090278,-79.827413890000,0,12,1,0,1,1,0,1,2,98,0,98,0,0000000,21,50,22,4,22,19,0,0,0,1,1
51,510035,2,2,0,0,0,4,4,165,0,2,2,2016,3,16,0,0,1,4,98,3,SR-211,,6,38.63111111,-78.765000000000,0,12,6,0,4,1,0,1,1,98,0,98,0,0000000,16,8,16,15,17,2,0,0,0,1,1
51,510036,1,1,0,0,0,1,1,660,1190,5,2,2016,6,5,11,1,2,1,1,1,I-81,,2459,38.42126944,-78.881688890000,0,1,0,0,1,1,0,4,2,98,0,98,0,0000000,5,11,5,19,88,88,0,0,0,1,0
51,510037,1,1,0,0,0,1,1,153,0,7,1,2016,5,23,55,0,1,5,1,4,CR-619,,240,38.55441111,-77.364600000000,0,42,0,0,1,1,0,4,2,2,0,2,0,0000000,99,99,99,99,88,88,0,0,0,1,1
51,510038,2,2,0,0,0,2,2,153,0,3,2,2016,4,21,14,0,2,3,98,3,SR-234,COBB ROAD,125,38.69605000,-77.442811110000,0,12,6,0,2,2,0,1,3,5,0,5,0,0000000,21,15,21,19,21,58,0,0,0,1,1
51,510039,1,1,0,0,0,1,1,15,0,12,2,2016,6,1,0,0,1,4,98,2,US-340,,288,38.23888889,-78.829166670000,0,43,0,0,1,1,0,4,2,98,0,98,0,0000000,7,41,7,44,88,88,0,0,0,1,1
51,510040,2,2,0,0,0,2,2,161,0,12,2,2016,6,21,1,0,2,5,98,4,CR-634,,7,37.26638889,-79.862222220000,0,12,6,0,1,1,0,1,2,98,0,98,0,0000000,21,3,21,11,21,49,0,0,0,1,2
51,510041,2,2,0,0,0,4,4,760,2060,14,2,2016,1,17,13,0,2,4,4,6,WARWICK ROAD,CLARKSON ROAD,5,37.48908889,-77.482630560000,0,12,6,0,2,3,0,1,5,98,0,98,0,0000000,99,99,99,99,99,99,0,0,0,2,0
51,510042,1,1,0,1,1,1,1,87,0,13,2,2016,7,2,25,0,2,4,1,2,US-1,,1011,37.65141111,-77.459788890000,0,8,0,0,1,1,0,1,2,98,0,98,0,0000000,99,99,99,99,88,88,0,0,0,1,0
51,510043,1,1,0,0,0,1,1,113,0,12,1,2016,3,17,0,0,1,4,98,3,SR-230,,70,38.35694444,-78.351388890000,0,59,0,0,1,1,0,4,1,98,0,98,0,0000000,99,99,99,99,88,88,0,0,0,1,1
51,510044,1,1,0,1,1,1,1,770,2100,11,2,2016,5,20,14,0,2,3,4,2,US-460,,1550,37.28253333,-79.931430560000,0,8,0,0,1,1,0,1,3,98,0,98,0,0000000,20,14,20,19,20,32,0,0,0,1,0
51,510046,1,1,0,0,0,3,3,31,0,13,2,2016,7,21,55,0,2,5,99,4,CR-622,,0,37.32305556,-79.232222220000,0,53,0,0,1,1,0,4,2,98,0,98,0,0000000,22,19,22,31,88,88,0,0,0,3,1
51,510047,3,3,0,0,0,3,3,139,0,17,2,2016,4,7,38,0,1,5,98,2,US-340,,15,38.58916944,-78.562761110000,0,12,2,0,1,1,0,1,1,98,0,98,0,0000000,7,44,7,46,88,88,0,0,0,2,0
51,510048,1,1,0,0,0,2,2,770,2100,12,2,2016,6,20,48,0,2,98,99,9,PINELAND ROAD,,330,37.25361111,-80.006666670000,0,1,0,0,1,1,0,4,2,98,0,98,0,0000000,20,59,21,9,21,40,0,0,0,1,1
51,510049,2,1,1,4,4,1,1,41,0,15,2,2016,2,18,0,0,2,2,98,3,SR-288,,174,37.48204722,-77.663333330000,0,14,0,0,1,1,0,3,2,3,0,3,0,0000000,17,26,18,6,18,51,15,23,0,1,0
51,510050,1,1,0,0,0,1,1,143,0,18,2,2016,5,15,51,0,1,5,98,4,CR-640,,103,36.80975556,-79.263888890000,0,42,0,0,1,1,0,4,1,98,0,98,0,0000000,15,54,16,9,88,88,0,0,0,1,0
51,510051,1,1,0,0,0,1,1,760,2060,16,2,2016,3,17,48,0,2,4,4,6,FAIRFIELD AVE,,7,37.54777778,-77.401025000000,0,30,0,0,1,1,0,4,5,98,0,98,0,0000000,17,48,17,55,18,12,0,0,0,1,1
51,510052,1,1,0,0,0,1,1,165,0,18,2,2016,5,20,50,0,1,6,98,4,CR-612,,24,38.52612222,-78.991927780000,0,42,0,0,1,1,0,4,2,98,0,98,0,0000000,21,6,21,17,88,88,0,0,0,1,0
51,510053,2,1,1,0,1,1,2,1,0,18,2,2016,5,23,30,0,1,3,98,2,US-13,RT-648,1190,37.70694444,-75.697500000000,0,14,0,0,2,2,0,1,2,98,0,98,0,0000000,23,25,23,32,88,88,19,0,0,1,0
51,510055,1,1,0,0,0,1,1,137,0,18,2,2016,5,16,50,0,1,5,98,4,CR-692,,68,38.29978889,-77.871666670000,0,42,0,0,1,1,0,4,1,98,0,98,0,0000000,17,16,17,41,18,9,0,0,0,1,1
51,510056,1,1,0,0,0,1,1,149,0,19,2,2016,6,23,14,1,1,1,1,1,I-295,,518,37.17253333,-77.339636110000,0,42,0,0,1,1,0,4,2,98,0,98,0,0000000,23,23,23,35,88,88,0,0,0,1,1
51,510057,2,2,0,0,0,3,3,600,900,11,1,2016,2,17,53,0,2,3,4,2,US-29,,2372,38.86500000,-77.275277780000,0,5,0,0,1,1,0,1,3,98,0,98,0,0000000,17,57,17,59,18,21,0,0,0,1,1
51,510058,2,2,0,0,0,3,3,67,0,22,1,2016,6,10,20,0,1,3,98,2,US-220,,433,37.05468889,-79.882458330000,0,12,1,0,1,1,0,1,1,4,0,4,0,0000000,99,99,99,99,99,99,0,0,0,1,0
51,510059,2,2,0,0,0,2,2,29,0,5,2,2016,6,15,27,0,1,4,1,3,SR-20,,137,37.72281111,-78.500705560000,0,12,2,0,1,1,0,1,1,98,0,98,0,0000000,99,99,99,99,99,99,0,0,0,1,1
51,510060,1,1,0,0,0,1,1,81,0,17,2,2016,4,1,30,0,1,7,98,4,CR-604,,40,36.66840278,-77.673291670000,0,42,0,0,1,1,0,4,2,98,0,98,0,0000000,1,38,1,56,2,22,0,0,0,1,0
51,510061,1,1,0,1,1,1,1,760,2060,20,2,2016,7,12,30,1,2,3,4,2,US-60,,1889,37.52291389,-77.452500000000,0,8,0,0,1,1,0,1,1,98,0,98,0,0000000,12,33,12,39,88,88,0,0,0,1,1
51,510062,2,2,0,0,0,2,2,59,0,13,1,2016,4,9,36,0,2,5,4,6,VAN BUREN,GROVE,10,38.96777778,-77.381388890000,0,12,6,0,2,2,0,1,1,98,0,98,0,0000000,9,40,9,52,88,88,0,0,0,1,0
51,510063,2,2,0,0,0,2,2,67,0,31,1,2016,1,16,20,0,1,5,98,3,SR-40,RIDGEFIELD LN,202,36.92277778,-80.053569440000,0,12,1,0,2,3,0,1,1,98,0,98,0,0000000,16,23,16,29,16,55,0,0,0,1,0
51,510064,2,2,0,0,0,2,2,61,0,15,2,2016,2,6,51,0,1,5,98,4,CR-647,,8,38.83750000,-77.917500000000,0,12,8,0,1,1,0,1,4,4,0,4,0,0000000,6,51,7,1,88,88,0,0,0,1,0
51,510065,1,1,0,0,0,1,1,41,0,20,2,2016,7,5,6,0,2,2,98,3,SR-150,,73,37.49273889,-77.521111110000,0,25,0,0,1,1,0,3,2,98,0,98,0,0000000,5,2,5,9,5,18,0,0,0,1,0
51,510066,1,1,0,0,0,1,1,69,0,23,2,2016,3,16,27,0,1,7,98,4,CR-673,,20,39.13860833,-78.999788890000,0,42,0,0,1,1,0,4,1,2,0,2,0,0000000,16,29,16,37,88,88,0,0,0,1,0
51,510067,1,1,0,0,0,1,1,143,0,23,2,2016,3,18,0,0,1,3,98,2,US-58,ROUTE 985,3045,36.58055556,-79.278888890000,0,42,0,0,7,1,0,4,2,98,0,98,0,0000000,18,2,18,12,18,45,0,0,0,1,0
51,510068,1,1,0,1,1,2,2,171,0,25,2,2016,5,20,28,0,1,5,1,2,US-11,,3102,38.98583333,-78.382500000000,0,8,0,0,1,1,0,1,2,98,0,98,0,0000000,20,23,20,30,88,88,19,0,0,1,0
51,510069,1,1,0,0,0,1,1,101,0,20,2,2016,7,0,17,0,1,7,1,4,CR-625,,1,37.59241111,-76.863469440000,0,42,0,0,1,1,0,4,2,98,0,98,0,0000000,0,42,0,51,99,99,0,0,0,1,1
51,510070,1,1,0,0,0,1,1,141,0,23,2,2016,3,21,45,0,1,7,98,4,CR-697,,40,36.62194444,-80.140555560000,0,42,0,0,1,1,0,4,2,2,0,2,0,0000000,99,99,99,99,88,88,0,0,0,1,0
51,510071,1,1,0,0,0,1,1,163,0,27,2,2016,7,5,50,0,1,5,98,4,CR-850,,69,37.86611111,-79.538333330000,0,42,0,0,1,1,0,4,2,98,0,98,0,0000000,5,50,6,6,88,88,0,0,0,1,0
