STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
42,420001,1,1,0,0,0,2,2,85,3390,5,1,2016,3,11,40,1,2,3,1,3,SR-58 JAMESTOWN RD,SR-18 COLLEGE AVE,104,41.41305278,-80.385550000000,0,39,0,0,3,4,0,4,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
42,420002,1,1,0,0,0,1,1,79,0,2,1,2016,7,9,11,0,2,99,1,3,SR-3004 KIRMAR AVE,,78,41.17671944,-76.028030560000,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,9,14,9,23,9,54,0,0,0,1,0
42,420003,1,1,0,1,1,1,1,133,9610,3,1,2016,1,17,45,0,2,7,4,6,PERSHING AVE,PARKWAY BLVD,0,39.97092222,-76.737708330000,0,8,0,0,3,2,0,1,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
42,420004,1,1,0,0,0,1,1,129,3370,12,1,2016,3,1,55,1,2,3,1,3,SR-130 COLLEGE AVE,,136,40.31855556,-79.554413890000,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,2,1,2,2,88,88,0,0,0,1,1
42,420005,1,1,0,0,0,1,1,3,0,23,1,2016,7,23,22,1,2,3,1,3,SR-8 WILLIAM FLYNN HWY,,89,40.50893889,-79.946116670000,0,35,0,0,1,1,0,4,3,1,0,1,0,0000000,23,24,23,30,88,88,0,0,0,1,0
42,420006,1,1,0,0,0,2,2,129,4810,30,1,2016,7,2,6,0,2,4,1,3,SR-993 MANOR HARRISON CITY RD,,91,40.34507222,-79.657933330000,0,48,0,0,1,1,0,4,2,1,0,1,0,0000000,2,10,2,14,88,88,0,0,0,2,1
42,420007,2,2,0,0,0,2,2,71,0,16,1,2016,7,19,33,0,2,4,1,3,SR-741 MILLERSVILLE RD,,78,39.99430000,-76.320255560000,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,19,35,99,99,99,99,0,0,0,1,1
42,420008,2,2,0,0,0,2,2,125,0,27,1,2016,4,19,5,0,1,4,1,3,SR-18 SMITH TWP STATE RD,,299,40.32764167,-80.364875000000,0,12,8,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
42,420009,2,2,0,0,0,2,2,79,3570,21,1,2016,5,0,5,1,2,3,1,3,SR-309 CHURCH ST,EIGHTH ST,38,40.96439167,-75.975572220000,0,12,6,0,2,2,0,1,3,1,0,1,0,0000000,0,8,0,11,0,28,22,0,0,1,0
42,420010,2,2,0,0,0,2,2,73,5800,29,1,2016,6,16,4,0,2,4,1,3,SR-65 EAST WASHINGTON ST,,131,40.99718611,-80.337366670000,0,12,2,0,1,1,0,1,1,1,0,1,0,0000000,16,6,16,9,16,34,0,0,0,1,0
