STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
33,330001,1,1,0,0,0,3,3,19,173,2,1,2016,7,19,39,1,1,1,1,1,I-89,,0,43.52348333,-72.142402780000,0,1,0,0,1,1,0,3,2,10,0,10,0,0000000,19,40,19,52,20,14,0,0,0,1,0
33,330002,1,1,0,1,1,1,1,11,310,8,1,2016,6,20,46,0,2,7,4,6,AUBURN STREET,,0,42.98501667,-71.462813890000,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,20,46,20,55,21,19,0,0,0,1,0
33,330003,1,1,0,0,0,1,1,9,300,12,1,2016,3,7,23,1,2,1,1,1,I-93,,1280,44.33691111,-71.888080560000,0,42,0,0,1,1,0,3,1,10,0,10,0,0000000,7,34,7,37,88,88,0,0,0,1,0
33,330004,1,1,0,1,1,1,1,15,195,12,1,2016,3,20,4,0,2,4,1,6,STAGE ROAD,,0,42.86617778,-71.174163890000,0,8,0,0,1,1,0,1,2,4,0,4,0,0000000,20,12,20,29,88,88,23,0,0,1,0
33,330005,1,1,0,0,0,1,1,1,3,16,1,2016,7,17,33,0,1,4,1,3,SR-11,,0,43.53893889,-71.293502780000,0,42,0,0,1,1,0,4,2,10,0,10,0,0000000,17,33,17,49,18,26,0,0,0,1,1
33,330006,2,2,0,0,0,4,4,11,240,14,1,2016,5,13,34,1,2,3,1,3,SR-102,,0,42.79337778,-71.437522220000,0,12,6,0,1,1,0,1,1,1,0,1,0,0000000,13,34,13,45,14,8,0,0,0,1,0
33,330007,1,1,0,1,1,2,2,9,285,23,1,2016,7,17,45,0,1,5,1,3,SR-112,,0,44.04663889,-71.665713890000,0,8,0,0,1,1,0,2,2,1,0,1,0,0000000,17,46,17,56,18,21,0,0,0,1,1
33,330008,1,1,0,0,0,1,1,15,448,10,1,2016,1,20,19,1,2,1,1,1,I-93,,0,42.76049167,-71.232197220000,0,35,0,0,1,1,0,4,2,10,0,10,0,0000000,20,20,20,26,20,44,0,0,0,1,0
33,330009,1,1,0,0,0,1,1,5,485,23,1,2016,7,20,53,0,1,7,3,6,GOODELL AVE,,0,42.84153611,-72.271975000000,0,42,0,0,1,1,0,4,2,10,0,10,0,0000000,20,54,21,6,88,88,0,0,0,1,0
33,330010,2,2,0,0,0,3,3,11,334,13,1,2016,4,14,33,0,1,6,3,6,NATICOOK ROAD,PEASLEE ROAD,0,42.81972500,-71.536122220000,0,12,6,0,2,4,0,1,1,1,0,1,0,0000000,14,33,14,49,15,8,0,0,0,1,0
