STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
44,440001,1,1,0,1,1,1,1,7,47,12,1,2016,3,8,0,0,2,3,1,3,SR-122  MENDON ROAD,,0,41.91279722,-71.403508330000,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,8,2,8,4,8,27,0,0,0,1,0
44,440002,1,1,0,1,1,1,1,7,40,17,1,2016,1,3,5,0,2,7,4,6,ROOSEVELT AVE.,CENTRAL STREET,0,41.88613056,-71.382238890000,0,8,0,0,2,2,0,1,3,1,0,1,0,0000000,3,5,3,7,3,38,0,0,0,1,1
44,440003,1,1,0,0,0,1,1,3,48,20,1,2016,4,13,45,0,2,3,1,3,SR-117 MAIN ST.,,0,41.69178333,-71.570719440000,0,30,0,0,1,1,0,4,1,1,0,1,0,0000000,13,43,13,47,14,5,0,0,0,1,1
44,440004,3,3,0,0,0,3,3,7,202,20,1,2016,4,21,34,0,1,4,1,3,SR-101  HARTFORD PIKE,,0,41.84040278,-71.651480560000,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,21,38,21,42,22,16,0,0,0,1,1
44,440005,2,1,1,0,0,1,1,7,190,9,2,2016,3,11,18,0,2,7,4,6,OAKLAND AVE.,,0,41.84036111,-71.428719440000,0,14,0,0,1,1,0,7,1,1,0,1,0,0000000,11,18,11,23,11,39,0,0,0,1,0
44,440006,1,1,0,0,0,4,4,9,54,25,2,2016,5,22,5,0,2,3,1,3,SR-2  SOUTH COUNTY TRAIL,,0,41.52258889,-71.553552780000,0,53,0,0,1,1,0,4,2,1,0,1,0,0000000,22,18,22,27,22,56,0,0,0,1,1
44,440007,1,1,0,1,1,1,1,1,30,25,2,2016,5,19,31,0,2,3,1,3,SR-136  METACOM AVE.,,0,41.67639722,-71.259644440000,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,19,30,19,32,20,11,0,0,0,1,0
44,440008,1,1,0,0,0,1,1,3,48,29,2,2016,2,1,47,0,2,3,1,3,SR-117  MAIN ST.,,0,41.69710833,-71.576111110000,0,33,0,0,1,1,0,4,3,1,0,1,0,0000000,1,51,1,58,88,88,20,0,0,1,1
44,440009,1,1,0,0,0,1,1,5,185,1,3,2016,3,18,38,0,2,3,1,3,SR-138  TURNPIKE AVE.,,0,41.60441944,-71.251550000000,0,33,0,0,1,1,0,4,3,1,0,1,0,0000000,18,42,18,42,19,9,0,0,0,1,0
44,440010,3,3,0,0,0,7,7,7,180,5,3,2016,7,16,23,1,2,1,1,1,I-95  S,,0,41.87285833,-71.392202780000,0,12,7,0,1,1,0,1,1,1,0,1,0,0000000,16,23,16,34,16,42,0,0,0,2,0
44,440011,1,1,0,1,1,1,1,3,230,9,3,2016,4,9,30,0,2,3,1,3,SR-113  MAIN AVE.,,0,41.71653611,-71.462038890000,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,9,30,9,36,9,50,0,0,0,1,0
44,440012,1,1,0,0,0,1,1,7,57,10,3,2016,5,22,31,1,2,1,1,1,I-195 E,,0,41.81917778,-71.384663890000,0,33,0,0,5,1,0,4,3,10,0,10,0,0000000,22,25,22,31,88,88,0,0,0,1,1
44,440013,1,1,0,1,1,1,1,7,190,17,3,2016,5,13,38,0,2,7,3,6,HUNTINGTON AVE.,,0,41.80125000,-71.432572220000,0,33,0,0,1,1,0,4,1,1,0,1,0,0000000,13,36,13,40,14,5,0,0,0,1,1
44,440014,1,1,0,1,1,1,1,5,135,8,4,2016,6,21,40,0,2,3,1,3,SR-114  WEST MAIN ROAD,,0,41.54748333,-71.292000000000,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,21,44,21,49,22,8,0,0,0,1,0
44,440015,2,2,0,0,0,2,2,3,55,23,5,2016,2,0,7,1,2,1,1,1,I-95 S,,0,41.65935833,-71.545944440000,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,0,9,0,17,0,51,0,0,0,2,1
44,440016,1,1,0,0,0,1,1,7,159,5,5,2016,5,20,46,0,2,7,4,6,CANAL STREET,,0,42.01479722,-71.535041670000,0,38,0,0,1,1,0,4,3,10,0,10,0,0000000,20,48,20,52,21,22,0,0,0,1,0
44,440017,1,1,0,1,1,1,1,7,47,2,5,2016,2,0,49,0,2,7,4,6,BEAR HILL ROAD,SHIRLEY DRIVER,0,41.94532500,-71.398683330000,0,8,0,0,2,3,0,1,2,2,0,2,0,0000000,0,50,0,58,1,22,0,0,0,1,0
44,440018,1,1,0,0,0,1,1,7,105,25,5,2016,4,6,44,1,2,1,1,1,I-295 S,,0,41.84941667,-71.511158330000,0,24,0,0,1,1,0,3,1,1,0,1,0,0000000,6,51,6,56,7,10,0,0,0,1,0
44,440019,1,1,0,0,0,2,2,7,62,28,5,2016,7,1,45,0,1,5,1,3,SR-94  REYNOLDS ROAD,,0,41.88806389,-71.775313890000,0,24,0,0,1,1,0,4,2,1,0,1,0,0000000,1,52,2,8,2,43,0,0,0,1,1
44,440020,1,1,0,0,0,1,1,9,194,5,6,2016,1,20,21,0,1,7,4,6,LEWISTON AVE.,,0,41.45541667,-71.624702780000,0,53,0,0,1,1,0,4,2,5,0,5,0,0000000,20,17,20,29,21,3,0,0,0,1,1
44,440021,1,1,0,0,0,1,1,7,105,10,6,2016,6,5,0,1,2,1,1,1,I-295 S,,0,41.83495000,-71.515697220000,0,11,0,0,1,1,0,1,1,1,0,1,0,0000000,4,58,5,6,88,88,0,0,0,1,0
44,440022,3,3,0,0,0,6,6,9,194,7,7,2016,5,12,11,0,1,3,1,3,SR-138 KINGSTOWN RD.,,0,41.50091944,-71.609072220000,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,12,7,12,26,12,41,0,0,0,1,0
44,440023,1,1,0,1,1,1,1,9,54,8,7,2016,6,21,59,0,1,4,1,3,SR-165  TEN ROD ROAD,,0,41.57799167,-71.659805560000,0,8,0,0,1,1,0,2,2,1,0,1,0,0000000,21,52,21,56,22,31,0,0,0,1,0
44,440024,1,1,0,1,1,1,1,9,208,26,7,2016,3,12,15,1,2,2,1,2,US-1  COMMODORE PERRY,,0,41.42716111,-71.520825000000,0,9,0,0,1,1,0,2,1,1,0,1,0,0000000,12,15,12,19,13,35,0,0,0,1,0
44,440025,1,1,0,0,0,3,3,7,190,17,7,2016,1,1,45,0,2,3,1,3,SR-1A  ALLENS AVE.,,0,41.79831389,-71.399258330000,0,33,0,0,1,1,0,4,3,1,0,1,0,0000000,1,52,2,3,2,17,0,0,0,1,1
44,440026,1,1,0,0,0,1,1,9,84,28,7,2016,5,13,49,1,1,1,1,1,I-95 S,,0,41.44824444,-71.786602780000,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,13,50,13,51,14,53,0,0,0,1,0
44,440027,2,2,0,0,0,5,5,7,156,6,8,2016,7,1,35,0,2,2,1,3,SR-146 N,,0,41.86845278,-71.430738890000,0,12,1,0,1,1,0,1,3,1,0,1,0,0000000,1,49,1,54,2,21,0,0,0,1,1
44,440028,1,1,0,1,1,1,1,7,50,16,8,2016,3,9,43,0,2,4,4,3,SR-12  PARK AVE.,WESTERN PROMENADE,0,41.77224167,-71.408827780000,0,9,0,0,2,3,0,1,1,1,0,1,0,0000000,9,43,9,49,9,58,16,0,0,1,0
44,440029,1,1,0,0,0,4,4,9,15,22,8,2016,2,16,54,0,1,7,4,6,MOHEGAN TRAIL,,0,41.15095000,-71.576761110000,0,1,0,0,1,1,0,4,1,1,0,1,0,0000000,16,57,17,0,88,88,0,0,0,1,1
44,440030,1,1,0,1,1,1,1,7,190,24,8,2016,4,8,14,0,2,7,4,6,WASHINGTON STREET,EAST APPROACH,0,41.82467500,-71.412480560000,0,8,0,0,2,3,0,1,1,1,0,1,0,0000000,8,15,8,19,88,88,0,0,0,1,0
44,440031,2,2,0,0,0,4,4,9,45,29,8,2016,2,16,11,1,1,2,1,2,US-1,OYSTER DRIVE,0,41.36805000,-71.676750000000,0,33,0,0,1,1,0,4,1,1,0,1,0,0000000,16,11,16,16,88,88,0,0,0,1,1
44,440032,2,2,0,0,0,2,2,7,190,3,9,2016,7,20,14,0,2,7,4,6,FAIRVIEW ST.,LEAH ST.,0,41.82881111,-71.451519440000,0,12,6,0,2,2,0,1,3,1,0,1,0,0000000,20,16,20,23,20,39,0,0,0,1,0
44,440033,1,1,0,1,1,1,1,9,155,31,8,2016,4,17,22,1,2,3,1,2,US-1  POST RD.,,0,41.63231389,-71.466677780000,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,17,22,17,28,17,55,0,0,0,1,0
44,440034,1,1,0,0,0,1,1,3,55,6,9,2016,3,20,47,1,2,1,1,1,I-95 S,,0,41.66722778,-71.486816670000,0,42,0,0,1,1,0,3,3,2,0,2,0,0000000,20,39,20,47,21,9,0,0,0,1,0
44,440035,1,1,0,0,0,1,1,9,240,9,9,2016,6,14,28,0,2,7,4,6,POTTER HILL RD.,,0,41.40202500,-71.807766670000,0,53,0,0,1,1,0,5,1,1,0,1,0,0000000,14,27,14,32,15,3,0,0,0,1,0
44,440036,1,1,0,1,1,1,1,7,190,15,9,2016,5,18,25,0,2,7,4,6,ORMS ST.,,0,41.83488333,-71.413619440000,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,18,26,18,30,18,47,0,0,0,1,0
44,440037,3,3,0,0,0,5,5,7,105,15,9,2016,5,14,12,1,2,3,1,2,US-6  HARTFORD AVE.,,0,41.83061111,-71.529011110000,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,14,13,14,16,14,38,0,0,0,1,0
44,440038,1,1,0,0,0,1,1,7,50,17,9,2016,7,1,24,0,2,7,4,6,PONTIAC AVE.,,0,41.77369722,-71.437108330000,0,33,0,0,1,1,0,4,3,1,0,1,0,0000000,1,24,1,27,88,88,0,0,0,1,1
44,440039,1,1,0,1,1,1,1,7,190,18,9,2016,1,14,3,0,2,3,1,3,SR-1A  ALLENS AVE.,,0,41.80661667,-71.402950000000,0,8,0,0,1,1,0,1,1,10,0,10,0,0000000,14,6,14,9,14,16,0,0,0,1,0
44,440040,1,1,0,0,0,1,1,3,48,2,10,2016,1,0,4,0,1,6,4,6,HOPKINS HILL ROAD,,0,41.68600278,-71.751880560000,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,0,3,0,12,0,59,0,0,0,1,1
44,440041,2,2,0,0,0,2,2,3,230,20,10,2016,5,15,23,1,2,3,1,2,US-1  POST ROAD,,0,41.63749722,-71.468405560000,0,12,6,0,4,1,0,1,1,1,0,1,0,0000000,15,8,15,11,15,54,0,0,0,1,0
44,440042,1,1,0,1,1,2,2,7,57,12,10,2016,4,18,3,0,2,3,1,3,SR-44  TAUNTON AVE.,,0,41.82078333,-71.363766670000,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,18,4,18,10,18,33,0,0,0,1,0
