STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
54,540001,1,1,0,0,0,1,1,5,650,1,1,2016,6,10,54,1,1,3,1,2,US-119,,115,38.10861111,-81.849438890000,0,1,0,0,1,1,0,4,1,10,0,10,0,0000000,10,54,11,4,12,38,0,0,0,1,0
54,540002,1,1,0,0,0,1,1,7,0,2,1,2016,7,0,1,1,1,1,1,1,I-79,,815,38.83212500,-80.667472220000,0,24,0,0,1,1,0,4,2,10,0,10,0,0000000,0,1,0,10,88,88,0,0,0,1,0
54,540003,1,1,0,0,0,1,1,3,0,2,1,2016,7,1,10,1,2,1,1,1,I-81,,230,39.58010000,-77.868019440000,0,1,0,0,1,1,0,3,2,1,0,1,0,0000000,1,12,1,20,88,88,0,0,0,1,1
54,540004,1,1,0,0,0,1,1,21,2585,2,1,2016,7,16,14,0,1,7,1,4,CR-14,,8,38.97278056,-80.975280560000,0,35,0,0,1,1,0,4,1,1,0,1,0,0000000,16,17,16,46,18,8,0,0,0,1,1
54,540005,2,2,0,0,0,2,2,95,2440,4,1,2016,2,14,9,1,1,3,1,3,SR-2,,96,39.55264167,-81.006119440000,0,24,0,0,1,1,0,4,1,4,0,4,0,0000000,99,99,99,99,88,88,0,0,0,1,0
54,540006,1,1,0,1,1,2,2,3,1660,4,1,2016,2,22,0,0,2,4,1,3,SR-45,,178,39.45247222,-77.886861110000,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
54,540007,3,3,0,0,0,5,5,11,1270,5,1,2016,3,19,32,1,2,1,1,1,I-64,,135,38.39963056,-82.379500000000,0,24,0,0,1,1,0,4,2,1,0,1,0,0000000,19,35,19,42,20,3,0,0,0,1,0
54,540008,1,1,0,0,0,1,1,29,530,2,1,2016,7,3,25,1,2,3,1,2,US-30,,5,40.62103333,-80.562977780000,0,20,0,1,19,1,0,10,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
54,540009,1,1,0,0,0,1,1,1,0,6,1,2016,4,8,5,0,1,5,1,3,SR-92,,135,39.10112500,-79.926941670000,1,42,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
54,540010,1,1,0,1,1,1,1,55,261,7,1,2016,5,20,7,1,2,3,1,2,US-52,,74,37.31000000,-81.258888890000,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
54,540011,2,2,0,0,0,2,2,57,1895,7,1,2016,5,8,7,1,1,3,1,2,US-50,,105,39.36810833,-79.030563890000,0,12,2,0,1,1,0,1,1,1,0,1,1,0000000,99,99,99,99,88,88,0,0,0,1,0
54,540012,2,2,0,0,0,3,3,99,1350,8,1,2016,6,14,39,1,1,3,1,2,US-52,,272,38.34561111,-82.592569440000,0,12,1,0,1,1,3,1,1,2,0,2,0,0000000,14,40,14,51,99,99,0,0,0,1,0
54,540014,1,1,0,1,1,2,2,67,2570,11,1,2016,2,21,20,1,1,3,1,2,US-19,,124,38.29226111,-80.832383330000,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,21,23,21,27,21,34,0,0,0,1,0
54,540016,1,1,0,0,0,1,1,39,480,12,1,2016,3,12,50,0,1,7,1,4,CR-21/17,,1,38.54486111,-81.636152780000,0,1,0,0,1,1,0,4,1,1,0,1,0,0000000,13,2,13,10,13,55,0,0,0,1,0
54,540017,1,1,0,1,1,1,1,61,1840,17,1,2016,1,2,30,0,2,7,4,6,STEWART ST,,0,39.64039167,-79.950547220000,0,8,0,0,1,1,0,4,3,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
54,540018,1,1,0,0,0,1,1,7,2580,19,1,2016,3,12,0,1,1,1,1,1,I-79,,640,38.67038333,-80.728019440000,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
54,540019,2,2,0,0,0,2,2,61,1840,22,1,2016,6,10,29,1,2,3,1,2,US-19,,124,39.66546389,-80.012291670000,0,12,2,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,20,0,0,1,0
